Week,1948,1950-1959,1957,1958,1960-1969,1968,1970-1979,1994,1997,1999,2000,2002,2003,2004,2005,2006,2007,20e_eeuw,AIDS,Aandoening,Acetylsalicylzuur,Afrika,Afweer,Aids,Amantadine,Aminozuur,Antibioticum,Antigene_drift,Antigene_shift,Antistof,Arts,Aspirine,Astma,Aves,Aviaire_influenza,Aziatische_griep,Azië,B-cel,Bacterie,Bacteriën,Basalecelcarcinoom,Beenmerg,Beenmergtransplantatie,België,Bestraling,Bevalling,Bindweefsel,Biologie,Bloed,Bloed-hersenbarrière,Bloedarmoede,Bloedplaatje,Bof,Bronchitis,Buikgriep,COPD,Cel_(biologie),Celmembraan,Chemotherapie,Chirurgie,Chordadieren,Chromosoom,Conserveermiddel,Coronavirus,Coronavirussen,Creative_Commons,Cytoplasma,Cytosol,Cytostaticum,Desoxyribonucleïnezuur,Diabetes_mellitus,Diarree,Dierenrijk,Dierproef,Dizuurstof,Dood,Dopamine,Drop,Duitsland,Eerste_Wereldoorlog,Eetlust,Eiwitmantel,Emfyseem,Endemie_(geneeskunde),Engeland,Engels,Enzym,Epidemie,Eten,Ethylkwik,Eukaryoten,Europa_(werelddeel),Ex_vivo,Fagocytose,Frankrijk,Fruitvlieg,Gen,Geneeskunde,Geneesmiddel,Genetica,Genoom,Geslacht_(biologie),Giftigheid,Grieks,Griep,Griepprik,H1N1,H2N2,H3N2,H5N1,H5N2,H7N7,H7N9,Hart,Hart-_en_vaatziekten,Hartaandoening,Hartinfarct,Hemagglutinine,Hematologie,Hemoglobine,Hersenen,Hersenvliesontsteking,Hiv,Hoest,Hoesten,Hong_Kong_griep,Honger,Hongkong,Hongkonggriep,Hoofdpijn,Huid,Immuniteit,Immuniteit_(grondstuk),Immunoglobuline,Immunologie,Immuundeficiëntie,Immuunsuppressiva,Immuunsuppressivum,Immuunsysteem,In_silico,In_vitro,In_vivo,India,Inenting,Infectie,Infectieziekte,Influenza,Influenzavirus_A,Ion_(deeltje),Italië,Japan,Kanker,Keel_(anatomie),Keelpijn,Koolstof,Koorts,Koude_rilling,Koude_rillingen,LD50,Latijn,Leukemie,Lever,Lichaamstemperatuur,Long_(orgaan),Longaandoening,Longemfyseem,Longontsteking,Lymfeklier,Lymfeklierkanker,Lymfoom,Maag,Maag-darmstelsel,Macrofaag,Malaria,Meiose,Mens,Messenger_RNA,Mexicaanse_griep,Mexico_(land),Micro-organisme,Middellandse_Zeegebied,Molecuul,Morbiditeitsgraad,Mortaliteit,Mutant,Mutatie,Mutatie_(biologie),Nederland,Neuraminidase,Nier_(biologie),Ontsteking_(geneeskunde),Open_access,Oraal,Orgaan,Organisme,Orthomyxovirus,Oseltamivir,Palmitoylethanolamide,Pandemie,Parasiet,Pathogeen,Peptide,Pest_(ziekte),Pijn,Planten,Pokken,Polio,Polyploïdie,Proefdier,Proteïne,Pulmonologie,RNA-polymerase,RNA-virus,Radiotherapie,Recombinatie_(genetica),Resistentie,Rhinovirus,Ribonucleïnezuur,Rinovirus,Rode_bloedcel,Roken_(tabak),Rooms-Katholieke_Kerk,Rusland,SARS,Salicylaat,Schimmels,Slijm,Slijmvlies,Soort,Spaanse_griep,Spanje,Spier_(anatomie),Spierpijn,Stamceltransplantatie,Steenpuist,Sterfte,Sterftecijfer,Stikstof_(element),Stofwisseling,Structuurformule,Symptoom,Tamiflu,Temperatuur,Turkije,Tweede_Wereldoorlog,Urine,Vaccin,Vaccinatie,Varkensgriep,Verenigd_Koninkrijk,Verenigde_Naties,Verenigde_Staten,Verkoudheid,Virus_(biologie),Virusinfectie,Vlaams,Vlaanderen,Vogelgriep,Vogelpest,Vogels,Volksrepubliek_China,Vrije_kennis,Water,Waterpokken,Waterstof_(element),Weefsel_(biologie),Wereldgezondheidsorganisatie,Witte_bloedcel,Ziekte,Ziekte_van_Parkinson,Zoogdieren,Zuurstof_(element),Zwangerschap,Zweden
2013-01,,,,,,,,,,,,,,,,,,1156.0,,265.0,2154.0,,283.0,,,2467.0,1695.0,53.0,74.0,142.0,,,,,30.0,77.0,5.0,346.0,466.0,8.0,0.0,583.0,87.0,,39.0,2545.0,990.0,,1497.0,2.0,3667.0,992.0,,,3633.0,,0.0,572.0,1231.0,499.0,651.0,1668.0,245.0,,92.0,,365.0,,24.0,2.0,,2527.0,1557.0,229.0,443.0,,,,,9256.0,60.0,41.0,776.0,0.0,,,1388.0,,,23.0,759.0,0.0,,470.0,8823.0,63.0,,1261.0,1299.0,,524.0,0.0,203.0,784.0,5679.0,111.0,,,,,,,,,461.0,29.0,2468.0,96.0,641.0,,1904.0,5509.0,,694.0,128.0,3.0,258.0,,103.0,1618.0,1267.0,115.0,0.0,,295.0,0.0,14.0,162.0,1548.0,,,,,355.0,1169.0,605.0,,,0.0,5.0,,,0.0,161.0,1070.0,10140.0,1138.0,6.0,,1408.0,3612.0,,1774.0,0.0,10.0,148.0,11302.0,1922.0,752.0,273.0,1266.0,1627.0,535.0,,881.0,,,810.0,0.0,700.0,197.0,932.0,89.0,214.0,,176.0,0.0,,,0.0,0.0,,,769.0,546.0,,,,,847.0,418.0,,0.0,898.0,898.0,,,0.0,27.0,0.0,115.0,174.0,121.0,553.0,0.0,32.0,,1.0,,993.0,0.0,36.0,,,22.0,1475.0,313.0,412.0,594.0,638.0,6392.0,0.0,1281.0,487.0,1681.0,48.0,258.0,0.0,1511.0,339.0,412.0,,1044.0,6835.0,8324.0,,,106.0,197.0,,,11927.0,1868.0,0.0,9.0,,,33.0,213.0,,3248.0,51.0,,4110.0,0.0,0.0,375.0,1660.0,851.0,4316.0,1629.0,0.0,3968.0,
2013-02,,973.0,,,,,1212.0,,,,,,,,,,,1473.0,,409.0,2814.0,,477.0,,,3247.0,2525.0,62.0,67.0,178.0,,,,,41.0,96.0,0.0,396.0,579.0,0.0,0.0,669.0,105.0,,47.0,3036.0,1278.0,,2371.0,0.0,5500.0,1416.0,,,3708.0,,0.0,858.0,1701.0,676.0,901.0,2356.0,381.0,,183.0,,484.0,,42.0,0.0,,2450.0,2284.0,479.0,757.0,,,,,12131.0,49.0,57.0,981.0,0.0,,,3053.0,,,17.0,1034.0,0.0,,628.0,12094.0,120.0,,1560.0,1679.0,,618.0,0.0,336.0,1142.0,9172.0,172.0,,,,,,,,,653.0,24.0,3215.0,89.0,936.0,,2905.0,5943.0,,646.0,94.0,4.0,332.0,,182.0,1720.0,2251.0,207.0,0.0,,347.0,0.0,8.0,183.0,2122.0,,,,,610.0,1620.0,928.0,,,0.0,0.0,,,0.0,167.0,1678.0,10444.0,1144.0,2.0,,1759.0,4241.0,,2240.0,0.0,17.0,253.0,11059.0,2408.0,904.0,328.0,1873.0,2155.0,536.0,,1281.0,,,6334.0,0.0,703.0,272.0,1360.0,129.0,303.0,175.0,311.0,0.0,,,0.0,0.0,,,1188.0,813.0,,,,,1311.0,543.0,,0.0,1185.0,1420.0,,,0.0,26.0,0.0,134.0,195.0,148.0,653.0,0.0,58.0,,0.0,,1652.0,0.0,67.0,,,35.0,2376.0,312.0,479.0,741.0,980.0,10077.0,0.0,1574.0,693.0,1824.0,53.0,365.0,0.0,2066.0,497.0,530.0,,1715.0,9946.0,11719.0,,,185.0,247.0,,,14212.0,1862.0,0.0,8.0,,,38.0,381.0,,4230.0,67.0,,3791.0,0.0,0.0,501.0,2425.0,1124.0,5586.0,2843.0,0.0,4630.0,
2013-03,,819.0,,,,,1202.0,,,,,,,,,,,1418.0,,349.0,3104.0,6607.0,488.0,,,3143.0,2316.0,59.0,62.0,161.0,,,,,39.0,104.0,0.0,510.0,570.0,0.0,0.0,714.0,90.0,,50.0,3724.0,1131.0,,2256.0,0.0,5611.0,1501.0,,,3234.0,,0.0,874.0,1745.0,720.0,843.0,2589.0,364.0,,150.0,,595.0,,22.0,0.0,,2496.0,2127.0,484.0,771.0,,,,,11497.0,51.0,74.0,1049.0,0.0,,,3790.0,,,33.0,995.0,0.0,,699.0,12296.0,136.0,,1554.0,1674.0,,663.0,0.0,256.0,1189.0,8299.0,117.0,,,,,,,,,683.0,30.0,2913.0,124.0,994.0,,2878.0,5828.0,,602.0,107.0,1.0,310.0,,126.0,1742.0,2038.0,169.0,0.0,,319.0,0.0,9.0,209.0,2247.0,,,,,603.0,1419.0,841.0,,,0.0,0.0,,,0.0,158.0,1714.0,10920.0,1274.0,3.0,,1875.0,4169.0,,2712.0,0.0,13.0,230.0,10360.0,2095.0,786.0,309.0,615.0,2105.0,642.0,,1361.0,,,2216.0,0.0,805.0,292.0,1545.0,123.0,309.0,237.0,357.0,0.0,,,0.0,0.0,,,1125.0,882.0,,,,,1240.0,658.0,,0.0,1213.0,1481.0,,156.0,0.0,26.0,0.0,128.0,251.0,209.0,772.0,0.0,54.0,,0.0,,1735.0,0.0,42.0,,,30.0,2302.0,319.0,500.0,717.0,614.0,10212.0,0.0,1381.0,794.0,1872.0,72.0,460.0,0.0,2171.0,567.0,481.0,,2145.0,10252.0,11372.0,,,132.0,308.0,,,15213.0,1807.0,0.0,3.0,,,50.0,313.0,,3894.0,61.0,,3624.0,0.0,0.0,519.0,2455.0,1112.0,5474.0,2830.0,0.0,4588.0,
2013-04,,679.0,,,,,1077.0,,,,,,,,,,,1429.0,,373.0,3196.0,6723.0,458.0,,,2930.0,2395.0,61.0,56.0,168.0,,,,,35.0,89.0,0.0,537.0,589.0,0.0,0.0,831.0,73.0,,45.0,2853.0,1174.0,,2200.0,0.0,5302.0,1481.0,,,3426.0,,0.0,730.0,1537.0,689.0,950.0,2392.0,449.0,,117.0,,470.0,,27.0,0.0,,2507.0,2210.0,573.0,834.0,,,,,11274.0,66.0,57.0,1015.0,0.0,,,2628.0,,,36.0,1044.0,0.0,,673.0,11161.0,110.0,,1556.0,1591.0,,677.0,0.0,272.0,1167.0,9505.0,102.0,,,,,,,,,650.0,26.0,2976.0,149.0,1040.0,,2881.0,5985.0,,722.0,97.0,2.0,340.0,,108.0,1689.0,2274.0,196.0,0.0,,418.0,0.0,17.0,208.0,2241.0,,,,,608.0,1602.0,951.0,,,0.0,0.0,,,0.0,159.0,1676.0,13339.0,1420.0,3.0,,1958.0,4279.0,,2918.0,0.0,12.0,178.0,12190.0,2524.0,896.0,347.0,595.0,2280.0,755.0,,1252.0,,,2130.0,0.0,747.0,312.0,1509.0,101.0,367.0,349.0,312.0,0.0,,,0.0,0.0,,,1166.0,793.0,,,,,1161.0,585.0,,0.0,1568.0,1458.0,,229.0,0.0,19.0,0.0,127.0,245.0,176.0,722.0,0.0,83.0,,0.0,,1633.0,0.0,42.0,,,24.0,2425.0,443.0,512.0,720.0,736.0,10582.0,0.0,1287.0,558.0,1792.0,38.0,362.0,0.0,2101.0,572.0,452.0,,2008.0,11217.0,12366.0,,,152.0,233.0,,,15350.0,2110.0,0.0,6.0,,,49.0,323.0,,4075.0,55.0,,4312.0,0.0,0.0,573.0,2553.0,1064.0,5308.0,2711.0,0.0,4019.0,
2013-05,,817.0,,,,,1127.0,,,,,,,,,,,1354.0,,378.0,2785.0,6077.0,396.0,,,2990.0,2344.0,67.0,79.0,147.0,,,,,46.0,113.0,0.0,419.0,562.0,0.0,0.0,646.0,76.0,,49.0,2812.0,1063.0,,2130.0,0.0,5098.0,1271.0,,,3039.0,,0.0,645.0,1475.0,697.0,895.0,2104.0,396.0,,155.0,,427.0,,22.0,0.0,,2626.0,2337.0,587.0,691.0,,,,,10763.0,58.0,42.0,995.0,0.0,,,2240.0,,,17.0,841.0,0.0,,477.0,10631.0,137.0,,1599.0,1611.0,,443.0,0.0,258.0,1131.0,10890.0,107.0,,,,,,,,,703.0,28.0,2833.0,94.0,953.0,,2816.0,6266.0,,691.0,121.0,5.0,298.0,,121.0,1772.0,2724.0,199.0,0.0,,329.0,0.0,15.0,203.0,1900.0,,,,,489.0,1452.0,878.0,,,0.0,0.0,,,0.0,185.0,1781.0,14464.0,1300.0,3.0,,1935.0,4180.0,,3024.0,0.0,25.0,185.0,13436.0,2663.0,961.0,396.0,537.0,2185.0,574.0,,1095.0,,,1805.0,0.0,699.0,285.0,1343.0,88.0,304.0,236.0,280.0,0.0,,,0.0,0.0,,,1286.0,695.0,,,,,1196.0,618.0,,0.0,1295.0,1458.0,,231.0,0.0,40.0,0.0,126.0,153.0,155.0,617.0,0.0,61.0,,0.0,,1471.0,0.0,33.0,,,22.0,2219.0,307.0,534.0,709.0,664.0,10703.0,0.0,1579.0,598.0,1673.0,66.0,355.0,0.0,1914.0,454.0,501.0,,1467.0,11087.0,12197.0,1962.0,,143.0,179.0,,,15090.0,2160.0,0.0,5.0,,,38.0,357.0,,3464.0,45.0,,5001.0,0.0,0.0,475.0,2434.0,1342.0,6219.0,2603.0,0.0,4230.0,
2013-06,,927.0,,,,,958.0,,,,,,,,,,,1485.0,,379.0,2719.0,5369.0,463.0,,,2472.0,2156.0,33.0,40.0,120.0,,,,,42.0,106.0,0.0,402.0,545.0,0.0,0.0,594.0,70.0,,40.0,2279.0,837.0,,2021.0,0.0,4897.0,1143.0,,,2613.0,,0.0,637.0,1363.0,807.0,785.0,1906.0,328.0,,97.0,,410.0,,42.0,0.0,,2349.0,2119.0,565.0,641.0,,,,,9091.0,88.0,40.0,832.0,0.0,,,1800.0,,,9.0,641.0,0.0,,375.0,9523.0,82.0,,1450.0,1400.0,,447.0,0.0,277.0,1053.0,10540.0,106.0,,,,,,,,,636.0,19.0,2363.0,60.0,895.0,,2749.0,5852.0,,652.0,110.0,4.0,314.0,,116.0,1880.0,1812.0,177.0,0.0,,329.0,0.0,12.0,183.0,2148.0,,,,,712.0,1436.0,919.0,,,0.0,0.0,,,0.0,175.0,1458.0,10452.0,1026.0,5.0,,1825.0,3774.0,,2746.0,0.0,16.0,199.0,12999.0,2490.0,937.0,276.0,465.0,2065.0,548.0,,864.0,,,1772.0,0.0,779.0,228.0,1127.0,68.0,204.0,172.0,232.0,0.0,,,0.0,0.0,,,1111.0,813.0,,,,,1043.0,507.0,,0.0,1131.0,1317.0,,212.0,0.0,25.0,0.0,161.0,120.0,123.0,701.0,0.0,42.0,,0.0,,1289.0,0.0,28.0,,,30.0,2034.0,294.0,431.0,732.0,599.0,9675.0,0.0,1550.0,520.0,1363.0,52.0,344.0,0.0,1866.0,396.0,452.0,,1322.0,10393.0,10005.0,1734.0,,155.0,269.0,,,13763.0,2020.0,0.0,4.0,445.0,,51.0,335.0,,3334.0,43.0,,4059.0,0.0,0.0,406.0,2276.0,1084.0,6033.0,2525.0,0.0,4139.0,
2013-07,,885.0,,,,,1025.0,,,,,,,,,,,1392.0,,371.0,2691.0,5052.0,287.0,,,2486.0,2368.0,35.0,53.0,141.0,,,,,40.0,103.0,0.0,327.0,480.0,0.0,0.0,601.0,76.0,,36.0,2234.0,809.0,,1977.0,0.0,3987.0,1080.0,,,2335.0,,0.0,448.0,1304.0,668.0,814.0,1739.0,302.0,,974.0,,329.0,,20.0,0.0,,2425.0,2023.0,542.0,491.0,1635.0,,,,8427.0,69.0,45.0,744.0,0.0,,,1743.0,,,14.0,579.0,0.0,,337.0,8893.0,65.0,,1453.0,1482.0,,430.0,0.0,215.0,1025.0,9726.0,90.0,,,,,,,,,625.0,26.0,2309.0,80.0,780.0,,2413.0,6177.0,,765.0,111.0,2.0,258.0,,114.0,1758.0,1598.0,140.0,0.0,,294.0,0.0,16.0,195.0,1746.0,,,,,441.0,1417.0,710.0,,,0.0,0.0,,,0.0,190.0,1301.0,8394.0,1104.0,4.0,,1975.0,3144.0,3577.0,2751.0,0.0,17.0,207.0,13270.0,2434.0,759.0,269.0,391.0,1932.0,404.0,,633.0,,,1391.0,0.0,516.0,236.0,1074.0,70.0,203.0,183.0,220.0,0.0,,63.0,0.0,0.0,,,1023.0,636.0,,,,,820.0,376.0,,0.0,1026.0,1200.0,,134.0,0.0,32.0,0.0,107.0,116.0,104.0,587.0,0.0,22.0,,0.0,,1269.0,0.0,38.0,,,30.0,1719.0,290.0,427.0,814.0,534.0,8499.0,0.0,1508.0,441.0,1413.0,56.0,221.0,0.0,1719.0,373.0,408.0,,1175.0,8782.0,9716.0,1723.0,,143.0,193.0,,,12449.0,2315.0,0.0,4.0,469.0,,50.0,317.0,,4483.0,38.0,,4514.0,0.0,0.0,340.0,2343.0,1100.0,8083.0,2290.0,0.0,4011.0,
2013-08,,843.0,,,,,1117.0,,,,,,,,,,,1537.0,,333.0,3002.0,5223.0,332.0,,,2410.0,2245.0,69.0,92.0,123.0,,,,,66.0,87.0,0.0,292.0,536.0,0.0,0.0,550.0,79.0,,48.0,2354.0,935.0,,1883.0,0.0,4368.0,1209.0,,,2703.0,,0.0,467.0,1374.0,674.0,753.0,1641.0,308.0,,350.0,,275.0,,35.0,0.0,,2472.0,1779.0,623.0,726.0,1816.0,,,,9331.0,52.0,56.0,838.0,0.0,,,1766.0,,,19.0,748.0,0.0,,328.0,9707.0,112.0,,1444.0,1659.0,,529.0,0.0,249.0,1037.0,8954.0,123.0,,,,,,,,,598.0,24.0,2436.0,68.0,852.0,,2576.0,6363.0,,587.0,94.0,1.0,286.0,,100.0,1906.0,1607.0,165.0,0.0,,323.0,0.0,18.0,202.0,1737.0,,,,,513.0,1338.0,796.0,,,0.0,0.0,,,0.0,209.0,1943.0,8601.0,1149.0,3.0,,1750.0,3661.0,3683.0,2425.0,0.0,19.0,151.0,12704.0,2548.0,846.0,221.0,464.0,1987.0,469.0,,707.0,,,1556.0,0.0,710.0,230.0,1148.0,64.0,242.0,165.0,201.0,0.0,,73.0,0.0,0.0,,,1064.0,735.0,,,,,915.0,425.0,,0.0,1097.0,1587.0,,188.0,0.0,21.0,0.0,125.0,137.0,137.0,694.0,0.0,55.0,,0.0,,1303.0,0.0,40.0,,,33.0,2077.0,298.0,398.0,700.0,590.0,10286.0,0.0,1378.0,516.0,1411.0,49.0,296.0,0.0,1703.0,423.0,443.0,,1427.0,9089.0,10376.0,1672.0,,138.0,241.0,,,13351.0,2344.0,0.0,10.0,501.0,,51.0,451.0,,3403.0,51.0,,3594.0,0.0,0.0,448.0,2281.0,1079.0,5525.0,2353.0,0.0,4613.0,
2013-09,,918.0,,,,,1176.0,,,,,,,,,,,1638.0,,364.0,2892.0,5585.0,393.0,4923.0,,3013.0,2106.0,54.0,56.0,175.0,,,,,40.0,97.0,0.0,445.0,633.0,0.0,0.0,628.0,92.0,,47.0,2177.0,861.0,,2089.0,0.0,4707.0,1184.0,,,4137.0,,0.0,556.0,1505.0,807.0,876.0,2022.0,315.0,,174.0,,380.0,124.0,29.0,0.0,,2302.0,1838.0,657.0,700.0,1987.0,,,,10137.0,63.0,54.0,917.0,0.0,,,1900.0,,,20.0,881.0,0.0,,365.0,10480.0,113.0,,1524.0,1634.0,,414.0,0.0,231.0,1280.0,6351.0,102.0,,,,,,,,,736.0,22.0,2803.0,59.0,861.0,,2856.0,5690.0,,521.0,93.0,2.0,285.0,3424.0,91.0,1751.0,1822.0,159.0,0.0,,385.0,0.0,16.0,186.0,2112.0,,,,,517.0,1387.0,936.0,,,0.0,0.0,,,0.0,181.0,2169.0,8195.0,1472.0,2.0,,1845.0,3786.0,4022.0,2123.0,0.0,13.0,202.0,9995.0,2667.0,915.0,308.0,372.0,2020.0,487.0,,759.0,,,4090.0,0.0,854.0,251.0,1113.0,90.0,231.0,196.0,217.0,0.0,,69.0,0.0,0.0,,,1205.0,772.0,,,,,1198.0,508.0,,0.0,1191.0,1506.0,,184.0,0.0,29.0,0.0,123.0,125.0,163.0,624.0,0.0,70.0,,0.0,,1469.0,0.0,38.0,,,22.0,2458.0,263.0,427.0,765.0,658.0,10987.0,0.0,1301.0,687.0,1420.0,58.0,313.0,0.0,1775.0,448.0,441.0,,1298.0,9009.0,12487.0,1679.0,,138.0,211.0,,,14359.0,2027.0,0.0,4.0,512.0,,66.0,329.0,,3530.0,53.0,,3553.0,0.0,0.0,465.0,2442.0,1033.0,5731.0,2689.0,0.0,3892.0,
2013-10,,921.0,,,,,1126.0,,,,,,,,,,,1558.0,,358.0,2945.0,5316.0,452.0,5147.0,,2947.0,1999.0,40.0,49.0,192.0,,,,,42.0,67.0,0.0,434.0,571.0,0.0,0.0,728.0,99.0,,43.0,2107.0,829.0,,2418.0,0.0,4892.0,1268.0,,,3862.0,,0.0,538.0,1597.0,791.0,795.0,2035.0,343.0,,162.0,,328.0,122.0,38.0,0.0,,2151.0,2106.0,603.0,752.0,1964.0,,,,10984.0,53.0,51.0,879.0,0.0,,,2041.0,,,16.0,760.0,0.0,,478.0,11266.0,84.0,,1380.0,1547.0,,574.0,0.0,250.0,1235.0,4798.0,108.0,,,,,,,,,828.0,27.0,2890.0,86.0,890.0,,2652.0,5010.0,,574.0,94.0,2.0,317.0,3296.0,87.0,1835.0,1802.0,208.0,0.0,,318.0,0.0,13.0,194.0,2102.0,,,,,563.0,1397.0,859.0,,,0.0,0.0,,,0.0,190.0,1771.0,7495.0,1178.0,2.0,,1839.0,3920.0,3869.0,1811.0,0.0,28.0,182.0,8629.0,2758.0,978.0,251.0,455.0,1997.0,550.0,,933.0,,,2005.0,0.0,798.0,243.0,1183.0,82.0,222.0,178.0,270.0,0.0,,97.0,0.0,0.0,,,1263.0,760.0,,,,,1006.0,542.0,,0.0,1183.0,1660.0,,142.0,0.0,25.0,0.0,136.0,134.0,190.0,690.0,0.0,42.0,,0.0,,1543.0,0.0,63.0,,,32.0,2266.0,225.0,369.0,808.0,530.0,11337.0,0.0,1378.0,570.0,1552.0,66.0,358.0,0.0,1805.0,521.0,544.0,,1401.0,9369.0,14211.0,1578.0,,132.0,150.0,,,14828.0,1876.0,0.0,9.0,492.0,,54.0,358.0,,3749.0,59.0,,3540.0,0.0,0.0,491.0,2652.0,961.0,6004.0,2749.0,0.0,3722.0,
2013-11,,910.0,,,,,1113.0,,,,,,,,,,,1484.0,,335.0,3323.0,6157.0,477.0,4419.0,,2717.0,2019.0,31.0,54.0,150.0,,,,,65.0,91.0,0.0,490.0,483.0,0.0,0.0,680.0,89.0,,44.0,2283.0,1000.0,,2292.0,0.0,4936.0,1358.0,,,3293.0,,0.0,473.0,1616.0,785.0,791.0,1989.0,306.0,,224.0,,337.0,133.0,16.0,0.0,,2041.0,2052.0,688.0,714.0,1930.0,,,,11062.0,60.0,40.0,888.0,0.0,,,2138.0,,,25.0,699.0,0.0,,569.0,10828.0,56.0,,1498.0,1588.0,,543.0,0.0,235.0,1279.0,4157.0,117.0,,,,,,,,,720.0,23.0,3156.0,90.0,950.0,,2615.0,4562.0,,466.0,94.0,2.0,301.0,3130.0,77.0,1704.0,1902.0,177.0,0.0,,356.0,0.0,15.0,207.0,2099.0,,,,,549.0,1416.0,874.0,,,0.0,0.0,,,0.0,206.0,1854.0,6305.0,1076.0,6.0,,2543.0,4166.0,4320.0,1732.0,0.0,16.0,162.0,7298.0,2798.0,1071.0,251.0,487.0,2030.0,557.0,,752.0,,,1425.0,0.0,924.0,276.0,1122.0,75.0,195.0,219.0,250.0,0.0,,89.0,0.0,0.0,,,1207.0,753.0,,,,,1065.0,606.0,,0.0,1189.0,1631.0,,173.0,0.0,20.0,0.0,132.0,107.0,131.0,651.0,0.0,54.0,,0.0,,1818.0,0.0,86.0,,1107.0,31.0,2097.0,262.0,400.0,859.0,647.0,10161.0,0.0,1185.0,533.0,1577.0,41.0,305.0,0.0,1921.0,532.0,560.0,,1401.0,10505.0,13356.0,1751.0,,151.0,164.0,,,13852.0,1709.0,0.0,12.0,467.0,,55.0,656.0,,4042.0,56.0,,3551.0,0.0,0.0,539.0,2649.0,1026.0,5927.0,2516.0,0.0,3415.0,
2013-12,,793.0,,,,,1093.0,,,,,,,,,,,1395.0,,294.0,2988.0,5658.0,485.0,4396.0,,3065.0,2408.0,52.0,58.0,179.0,,,,,37.0,57.0,0.0,406.0,599.0,0.0,0.0,653.0,92.0,,34.0,2285.0,826.0,,2067.0,0.0,4648.0,1307.0,,,3142.0,,0.0,468.0,1582.0,655.0,827.0,2039.0,351.0,,173.0,,357.0,138.0,30.0,0.0,,2140.0,1891.0,537.0,877.0,1887.0,,,,11155.0,35.0,48.0,978.0,0.0,,,1931.0,,,14.0,758.0,0.0,,734.0,10102.0,90.0,,1355.0,1654.0,,497.0,0.0,248.0,1257.0,3461.0,63.0,,,,,,,,,789.0,23.0,3010.0,58.0,919.0,,2538.0,4846.0,,419.0,88.0,2.0,261.0,3324.0,52.0,1422.0,1732.0,222.0,0.0,,366.0,0.0,11.0,263.0,2009.0,,,,,566.0,1438.0,777.0,,,0.0,0.0,,,0.0,225.0,1666.0,6283.0,1197.0,2.0,,2429.0,4088.0,4049.0,1683.0,0.0,17.0,170.0,5709.0,2466.0,952.0,305.0,455.0,2028.0,578.0,,870.0,,,1059.0,0.0,560.0,261.0,1257.0,98.0,209.0,211.0,254.0,0.0,,79.0,0.0,0.0,,,1117.0,702.0,,,,,1304.0,469.0,,0.0,1157.0,1550.0,,164.0,0.0,32.0,0.0,136.0,151.0,133.0,715.0,0.0,44.0,,0.0,,1500.0,0.0,61.0,,441.0,30.0,1875.0,312.0,416.0,746.0,499.0,9886.0,0.0,1395.0,652.0,1407.0,49.0,388.0,0.0,1838.0,562.0,543.0,,1547.0,11585.0,13467.0,1519.0,,171.0,145.0,,,13495.0,1425.0,0.0,2.0,520.0,,34.0,487.0,,3809.0,48.0,,3723.0,0.0,0.0,512.0,3613.0,867.0,6046.0,2397.0,0.0,3536.0,
